company_key,stability_score,region,rating,still_active,duration_days
electronic information directline,0.0,london,A,True,1041
ray and sons convenience store,12.9,rest_england,A,True,272
destiny hope care services,12.9,rest_england,A,False,769
first click solutions,12.9,rest_england,A,True,1041
renishaw,12.9,rest_england,A,True,1041
premier retail stores,10.4,wales,A,True,1041
vnl trading,12.9,rest_england,A,True,1
change8,12.9,rest_england,A,True,1041
industrial technology systems,12.9,rest_england,A,True,1041
lionbridge software,0.0,london,A,False,99
homeclean aberdeen,27.8,scotland,A,True,935
care consult id,12.9,rest_england,A,True,1041
g a stevenson,12.9,rest_england,A,True,1041
the oxford cat clinic,12.9,rest_england,A,True,272
britannia house dental surgery,10.4,wales,A,True,467
westgate executive chauffeurs,12.9,rest_england,A,True,935
ppvs ppv solutions,12.9,rest_england,A,True,566
gpi contractors,12.9,rest_england,A,True,1041
shiloz services,12.9,rest_england,A,True,1041
rural care,12.9,rest_england,A,True,1
safancy,12.9,rest_england,A,True,1041
nexus frontier tech,0.0,london,A,True,1041
growthcurve,0.0,london,A,True,566
divido financial services,0.0,london,A,False,769
jeeves healthcare,12.9,rest_england,A,True,393
software alliance services,12.9,rest_england,A,True,935
tmsg ltd t a tucare,12.9,rest_england,A,True,1
yusuf patel,12.9,rest_england,A,True,566
lpa group,12.9,rest_england,A,True,566
sirens design,0.0,london,A,True,1041
uncommon bio,12.9,rest_england,A,True,1
uppum mulakum,12.9,rest_england,A,True,272
opulent eatery,12.9,rest_england,A,True,1041
ergotec health,0.0,london,A,True,209
novada cement uk,12.9,rest_england,A,True,1
ls electrix,12.9,rest_england,A,True,1041
universal design studio,0.0,london,A,True,1041
msm 90,12.9,rest_england,A,True,747
ribblesdale medical practice,12.9,rest_england,A,True,1041
lothar bohm associates,0.0,london,A,True,1041
globaltic,12.9,rest_england,A,True,1041
bayerische landesbank,0.0,london,A,True,1041
innova care concepts,12.9,rest_england,A,True,1041
your dignified care,12.9,rest_england,A,True,1041
mumbai wokingham,12.9,rest_england,A,True,935
wcn care,12.9,rest_england,A,True,1041
enbw uk,0.0,london,A,True,1041
gulbarhar hussain t a punjab balti house,12.9,rest_england,A,True,846
egality,0.0,london,A,True,566
ozlu 27 ltd t a mezze bar and grill,12.9,rest_england,A,True,846
axa uk,0.0,london,A,True,1041
brunei,12.9,rest_england,A,True,467
ministry of marketing,0.0,london,A,True,935
tende energy,0.0,london,A,True,1041
secureway training,12.9,rest_england,A,True,747
dr smile,12.9,rest_england,A,True,1
zakariya tradings,27.8,scotland,A,True,846
old plaza,12.9,rest_england,A,True,846
artistry production,0.0,london,A,True,935
exa infrastructure uk,0.0,london,A,True,747
windlesham house school t a the malden trust,12.9,rest_england,A,False,832
quick bargains,12.9,rest_england,A,True,747
welford bidco 5,12.9,rest_england,A,False,832
shabanabanu mustafa t a fish port,12.9,rest_england,A,True,935
free accountancy,12.9,rest_england,A,True,272
the boxoffice company glasgow,27.8,scotland,A,True,393
machrie golf links and hotel limited t a the machrie hotel golf links,27.8,scotland,A,True,1041
synthesis studio,0.0,london,A,True,1041
ds forecourt,12.9,rest_england,A,True,1041
manicay,12.9,rest_england,A,True,846
pluxee uk,12.9,rest_england,A,True,747
parrock dental and implant centres,12.9,rest_england,A,True,1041
crown couriers,12.9,rest_england,A,True,846
waita natural,0.0,london,A,True,272
integra contracts,12.9,rest_england,A,True,1041
beavertown brewery,0.0,london,A,True,1041
quantum clothing group,12.9,rest_england,A,True,566
birds and animals uk,12.9,rest_england,A,True,566
acteon group operations uk,12.9,rest_england,A,True,747
egg free cake inn bradford limited t a cake inn,12.9,rest_england,A,True,935
ediscovery uk,12.9,rest_england,A,True,1041
stageworks productions,0.0,london,A,False,188
easy healthcare yorkshire,12.9,rest_england,A,True,1041
cafe form ltd t a the highlander inn,12.9,rest_england,A,True,1041
the roxton practice,12.9,rest_england,A,True,1041
e a hogben,12.9,rest_england,A,True,1041
ennismore fund management,0.0,london,A,True,1041
primarysite,12.9,rest_england,A,False,106
uk angel records entertainment,12.9,rest_england,A,True,1041
momencraft,12.9,rest_england,A,True,1041
ode asset management,12.9,rest_england,A,True,566
jasotharan panchalingam t a bedfont chicken and pizza,12.9,rest_england,A,True,935
salisbury and romsey care,12.9,rest_england,A,True,1041
royal museums greenwich,0.0,london,A,True,209
infomed pharma,12.9,rest_england,A,True,566
carer house ltd trading as choice living,12.9,rest_england,A,False,832
karno sound,0.0,london,A,True,393
papillon europe,12.9,rest_england,A,True,1041
ziton,0.0,london,A,True,1
manjil ltd t a the guljar tandoori,12.9,rest_england,A,True,747
jo cowen architects,0.0,london,A,True,1041
ness global services,0.0,london,A,True,1041
qasim enterprise ltd t a smart cabs norwich,12.9,rest_england,A,True,747
white label beauty,0.0,london,A,True,566
barnet carers centre,0.0,london,A,True,467
dentons global advisors uk,0.0,london,A,False,294
ziyad tech,0.0,london,A,True,1041
budget energy,0.0,london,A,True,747
fife business consultants,27.8,scotland,A,True,1041
vl digital,12.9,rest_england,A,True,1041
diversity health and social care,12.9,rest_england,A,False,294
restaurante sergio,12.9,rest_england,A,True,1041
atolls london,0.0,london,A,True,272
mckinnon harris uk,0.0,london,A,True,393
ruby chinese,12.9,rest_england,A,False,1
j g porter contractors,12.9,rest_england,A,True,393
glebe medical practice,12.9,rest_england,A,True,566
europtima europe,12.9,rest_england,A,True,566
recursion london,0.0,london,A,True,566
thamestone,0.0,london,A,True,1041
spilsby surgery,12.9,rest_england,A,True,566
malaysia airlines berhad,0.0,london,A,True,1041
techwass consulting,12.9,rest_england,A,True,1041
brooks estate agents,0.0,london,A,True,846
gravitiq uk holding,12.9,rest_england,A,True,1041
the coriander basildon,12.9,rest_england,A,True,747
quastels,0.0,london,A,True,1041
allenby heating plumbing,12.9,rest_england,A,True,1041
aadamson house care home,12.9,rest_england,A,True,1041
knight dragon developments,0.0,london,A,True,1041
mediaocean systems,0.0,london,A,True,1041
inventure putney ltd t a best one,0.0,london,A,True,1041
foods connected,12.9,rest_england,A,True,1
skdp uk,12.9,rest_england,A,True,1041
duchy veterinary,12.9,rest_england,A,True,935
macrobond financial,0.0,london,A,True,1041
pocket intelligence,12.9,rest_england,A,True,1041
nail base london,0.0,london,A,False,574
patel taylor architects,0.0,london,A,True,1041
ttuc,12.9,rest_england,A,True,1041
